Enviro,MIC50,OD,Activity_norm,Strain
12.5,0.78125,0.733734935126498,0.5305614468027432,HSC030
3.12,0.78125,1.0077301112909718,0.6310745295548519,HSC030
6.25,0.78125,0.9116049442391638,0.5726003201902777,HSC030
0.2,0.78125,1.6251678330317008,1,HSC034
0.39,0.78125,1.515635051840071,0.9616249734015981,HSC034
0.78,0.78125,1.528582412515872,0.9649769353095836,HSC034
1.56,0.78125,1.0410245021037774,0.7867135736160786,HSC034
12.5,0.78125,0.558664437218464,0.5516155113052154,HSC034
3.12,0.78125,0.9576699611106648,0.5469062881298254,HSC034
6.25,0.78125,0.8354733380901496,0.5328436813403853,HSC034
0.2,0.78125,1.469911571852662,1,HSC038
0.39,0.78125,1.5240623466726975,0.9860270188827951,HSC038
0.78,0.78125,1.5327590834066553,1.1078555049793195,HSC038
1.56,0.78125,1.2327216660851048,0.9722272727652819,HSC038
12.5,0.78125,0.6817698053377192,0.6231255068635483,HSC038
3.12,0.78125,0.9516404171133532,0.7273777447706875,HSC038
6.25,0.78125,1.0156429640148252,0.7322253488415328,HSC038
0.2,0.390625,1.446105589805667,1,HSC041
0.39,0.390625,1.4913424640812638,0.983836975681415,HSC041
0.78,0.390625,1.3286572606679143,0.9923534241382751,HSC041
1.56,0.390625,1.171082148607919,0.8927953461572105,HSC041
12.5,0.390625,0.7271743767812767,0.6103005188184282,HSC041
3.12,0.390625,1.0455079364984385,0.713747898332492,HSC041
6.25,0.390625,0.967181126410137,0.6169992517625567,HSC041
0.2,0.78125,1.5970838375117373,1,HSC042
0.39,0.78125,1.5254972535438274,0.9805134915361552,HSC042
0.78,0.78125,1.5045579887506797,1.0230994218587417,HSC042
1.56,0.78125,1.287832818490915,0.7553572644198248,HSC042
12.5,0.78125,0.6577650493541387,0.6629812939261747,HSC042
3.12,0.78125,1.0469934768628684,0.6681340881818298,HSC042
6.25,0.78125,0.9189389116657839,0.6327017892876885,HSC042
0.2,0.78125,1.5058406029811713,1,HSC043
0.39,0.78125,1.5873129761111873,0.9922087929096466,HSC043
0.78,0.78125,1.464176972588939,0.9428981299966221,HSC043
1.56,0.78125,1.2879626454163127,0.782256887149395,HSC043
12.5,0.78125,0.7515434041163218,0.7978230254901961,HSC043
3.12,0.78125,1.140641760553368,0.8117337241987754,HSC043
6.25,0.78125,1.123163011501832,0.847414143117358,HSC043
0.2,0.78125,1.4270373752482564,1,HSC044
0.39,0.78125,1.5106818638861579,1.0427128095419842,HSC044
0.78,0.78125,1.4560826639315774,0.9950278394581781,HSC044
1.56,0.78125,1.084288111859912,0.7337736557842017,HSC044
12.5,0.78125,0.7719955450448706,0.7273547191448125,HSC044
3.12,0.78125,0.9823696052780287,0.7043738249935423,HSC044
6.25,0.78125,1.0152034098765652,0.7280693061447936,HSC044
0.2,0.78125,1.4329698201167997,1,HSC046
0.39,0.78125,1.5288018474685574,1.079534901642434,HSC046
0.78,0.78125,1.5489049569656554,1.0613873434348926,HSC046
1.56,0.78125,1.2250935803349796,0.7720153468199019,HSC046
12.5,0.78125,0.755804862934982,0.9038340352400345,HSC046
3.12,0.78125,1.0115971163926807,0.7461080412205385,HSC046
6.25,0.78125,1.075292990211443,0.9099585807201502,HSC046
0.2,0.78125,1.4472712489811916,1,HSC047
0.39,0.78125,1.4630292589166831,0.9728102067783195,HSC047
0.78,0.78125,1.3555967088270677,0.9428151187475741,HSC047
1.56,0.78125,1.1463859533893956,0.7476520366172866,HSC047
12.5,0.78125,0.7599439332654901,0.8444074617327587,HSC047
3.12,0.78125,1.0330209760299482,0.7117464343982477,HSC047
6.25,0.78125,0.9665592517726106,0.7229699308360037,HSC047
0.2,0.78125,1.4633687200396486,1,HSC048
0.39,0.78125,1.5669883261352135,1.0296947529147766,HSC048
0.78,0.78125,1.531504441732713,1.052039746769855,HSC048
1.56,0.78125,1.4334656343577292,0.9643300516573403,HSC048
12.5,0.78125,1.104531691856615,0.8693440507603953,HSC048
3.12,0.78125,1.423303582956074,0.9605474069765771,HSC048
6.25,0.78125,1.3115210175378682,0.8851744491862009,HSC048
0.2,0.78125,1.478863715622191,1,HSC050
0.39,0.78125,1.400777046405028,1.0002581658866352,HSC050
0.78,0.78125,1.132363671688889,0.890356246634692,HSC050
1.56,0.78125,0.9788645342551504,0.7022060379934026,HSC050
12.5,0.78125,0.8848090647773347,0.9903034603894386,HSC050
3.12,0.78125,0.8654020060873546,0.6838164443286908,HSC050
6.25,0.78125,0.9457044418478621,0.8080856990352556,HSC050
0.2,0.78125,1.5392257555580722,1,HSC051
0.39,0.78125,1.4993927418000617,0.9925590639006293,HSC051
0.78,0.78125,1.206034311064596,0.9111789866599317,HSC051
1.56,0.78125,1.081067993392406,0.761279270702185,HSC051
12.5,0.78125,0.8655791993564235,0.6798389696968424,HSC051
3.12,0.78125,0.9635215508320023,0.69955885830848,HSC051
6.25,0.78125,0.9011945998929977,0.5759299251727857,HSC051
0.2,0.78125,1.603500287906797,1,HSC054
0.39,0.78125,1.5263447952979732,0.9933050457183671,HSC054
0.78,0.78125,1.2276863409839884,0.8898441801422872,HSC054
1.56,0.78125,1.2346031620929971,0.89524967725637,HSC054
12.5,0.78125,0.7971965700566344,0.6820211099046266,HSC054
3.12,0.78125,1.0471079041737956,0.8461412787729101,HSC054
6.25,0.78125,0.9230168397538412,0.6838674246742781,HSC054
0.2,0.78125,1.522624584075698,1,HSC055
0.39,0.78125,1.337126590290191,1.0171837841553322,HSC055
0.78,0.78125,1.0420347751652133,0.9340100113889872,HSC055
1.56,0.78125,1.0442479637786508,0.8802051644832266,HSC055
12.5,0.78125,0.7633369497694009,0.5723700472038947,HSC055
3.12,0.78125,0.991951136542613,0.7161440381867817,HSC055
6.25,0.78125,0.8494053958475194,0.4837965011415771,HSC055
0.2,0.390625,1.6123401234153631,1,HSC057
0.39,0.390625,1.364732311583171,0.8869451752558867,HSC057
0.78,0.390625,1.3123143382937312,0.8307185206469169,HSC057
1.56,0.390625,1.201685569868849,0.7813794366269908,HSC057
12.5,0.390625,0.9545722672186332,0.7974642355898387,HSC057
3.12,0.390625,1.2523374389369466,0.8783906785607972,HSC057
6.25,0.390625,1.1337258794315972,0.8582928714124134,HSC057
0.2,0.390625,1.4874836552039368,1,HSC058
0.39,0.390625,1.1291804988038343,0.863086905784748,HSC058
0.78,0.390625,1.1349826386281965,0.9086416415228906,HSC058
1.56,0.390625,1.1018515793412589,0.8548432009629318,HSC058
12.5,0.390625,0.7216011983881344,0.5724634770156213,HSC058
3.12,0.390625,1.277429375765435,0.8658704552184994,HSC058
6.25,0.390625,0.788283761876818,0.5968512218438599,HSC058
0.2,0.78125,1.7915467351151302,1,HSC059
0.39,0.78125,1.1205621563373147,0.8775153296481157,HSC059
0.78,0.78125,0.8974273882651819,0.7587248956520121,HSC059
1.56,0.78125,1.1431074067468692,0.7634218841277055,HSC059
12.5,0.78125,0.7162225718893236,0.6295958385946299,HSC059
3.12,0.78125,1.1735540299635108,0.7277679197261205,HSC059
6.25,0.78125,0.8274739010131065,0.6344257323790776,HSC059
0.2,0.390625,1.6748220782438674,1,HSC061
0.39,0.390625,0.756767895825309,0.855448791367618,HSC061
0.78,0.390625,1.151740701579646,0.9263527647918727,HSC061
1.56,0.390625,0.9102921081489513,0.8283628545553471,HSC061
12.5,0.390625,0.7258569805923609,0.677164620135055,HSC061
3.12,0.390625,0.9707401201600497,0.6645302910217712,HSC061
6.25,0.390625,0.9192219281051364,0.5908267588164514,HSC061
0.2,0.78125,1.5254528216257992,1,HSC062
0.39,0.78125,1.4003567753618302,1.0207087483822106,HSC062
0.78,0.78125,1.4304625048865642,1.003671421299379,HSC062
1.56,0.78125,1.402873075143002,1.038273538090615,HSC062
12.5,0.78125,1.053287141258779,0.6477429903833336,HSC062
3.12,0.78125,1.5426175808473637,0.9396290240445668,HSC062
6.25,0.78125,1.2129823095138599,0.7037632590545558,HSC062
0.2,0.78125,1.5617141294099979,1,HSC063
0.39,0.78125,1.308522393403698,1.041186873840676,HSC063
0.78,0.78125,1.2524796378178387,1.0465163482895676,HSC063
1.56,0.78125,0.9545176548385274,0.8290533421518237,HSC063
12.5,0.78125,0.836915809664777,0.7003206651622969,HSC063
3.12,0.78125,1.123845124640025,0.7649166063284064,HSC063
6.25,0.78125,1.038701708521708,0.6236263844621689,HSC063
0.2,0.78125,1.4620567720416857,1,HSC074
0.39,0.78125,1.3943454303385672,0.9935527712546285,HSC074
0.78,0.78125,1.0381508888848554,1.068741241963155,HSC074
1.56,0.78125,0.842639994960619,0.8688746941659345,HSC074
