Strain,Enviro,MIC50,Mass,Mass_norm,Activity,Activity_norm
HSC014,16, ≤ 2,0.5921552721088434,0.22163792517006792,1.5552566326530612,-0.06703333333333328
HSC014,2, ≤ 2,0.5878886054421768,0.21737125850340128,1.5173566326530612,-0.10493333333333339
HSC014,32, ≤ 2,0.6067219387755102,0.23620459183673465,1.611423299319728,-0.010866666666666655
HSC014,4, ≤ 2,0.6089552721088435,0.23843792517006795,1.460623299319728,-0.1616666666666667
HSC014,8, ≤ 2,0.6216552721088435,0.251137925170068,1.5711899659863944,-0.05110000000000007
HSC015,0, ≤ 2,0.5767886054421769,0.17503316326530616,2.0266566326530615,0
HSC015,1, ≤ 2,0.5901886054421769,0.18843316326530613,1.9311566326530611,-0.09550000000000021
HSC015,16, ≤ 2,0.5632219387755102,0.16146649659863943,1.9138899659863946,-0.11276666666666668
HSC015,2, ≤ 2,0.5743552721088435,0.17259982993197276,1.940156632653061,-0.08650000000000017
HSC015,32, ≤ 2,0.5590219387755102,0.15726649659863945,1.9054232993197278,-0.12123333333333353
HSC015,4, ≤ 2,0.5990886054421768,0.19733316326530603,1.801356632653061,-0.2253000000000002
HSC015,8, ≤ 2,0.5778219387755101,0.17606649659863938,1.9430232993197278,-0.08363333333333352
HSC020,0, ≤ 2,0.5331886054421768,0.1732760204081632,1.4629899659863945,0
HSC020,1, ≤ 2,0.5291552721088435,0.16924268707482987,1.4490566326530612,-0.013933333333333353
HSC020,16, ≤ 2,0.5837886054421768,0.22387602040816318,1.5192899659863945,0.05630000000000002
HSC020,2, ≤ 2,0.5246219387755102,0.1647093537414966,1.4408232993197279,-0.02216666666666674
HSC020,32, ≤ 2,0.6019219387755101,0.2420093537414965,1.5098566326530611,0.04686666666666661
HSC020,4, ≤ 2,0.5200552721088435,0.16014268707482987,1.335756632653061,-0.12723333333333345
HSC020,8, ≤ 2,0.5881219387755101,0.22820935374149648,1.5072899659863945,0.04429999999999993
HSC028,0, ≤ 2,0.7193886054421769,0.25496649659863946,1.3743899659863945,0
HSC028,1, ≤ 2,0.6922219387755102,0.22779982993197279,1.3809566326530611,0.00656666666666661
HSC028,16, ≤ 2,0.7563552721088435,0.29193316326530605,1.5029566326530612,0.12856666666666663
HSC028,2, ≤ 2,0.7721219387755102,0.30769982993197276,1.4309232993197278,0.056533333333333324
HSC028,32, ≤ 2,0.7778219387755102,0.3133998299319728,1.558956632653061,0.18456666666666663
HSC028,4, ≤ 2,0.7109219387755101,0.24649982993197272,1.3729566326530611,-0.0014333333333333975
HSC028,8, ≤ 2,0.7323886054421768,0.26796649659863936,1.4037232993197277,0.029333333333333284
HSC029,0, ≤ 2,0.5488886054421769,0.14391411564625856,1.0457232993197279,0
HSC029,1, ≤ 2,0.6022886054421769,0.19731411564625856,1.1163232993197278,0.07060000000000007
HSC029,16, ≤ 2,0.6820219387755102,0.2770474489795919,1.1654899659863944,0.11976666666666669
HSC029,2, ≤ 2,0.6245552721088435,0.21958078231292522,1.1044232993197278,0.05870000000000005
HSC029,32, ≤ 2,0.7239219387755101,0.3189474489795918,1.2094899659863945,0.16376666666666664
HSC029,4, ≤ 2,0.5689219387755102,0.1639474489795919,1.0405899659863946,-0.005133333333333249
HSC029,8, ≤ 2,0.6183886054421768,0.21341411564625845,1.1016566326530612,0.05593333333333339
HSC030,0, ≤ 2,0.6202552721088435,0.20632840136054414,1.977123299319728,0
HSC030,1, ≤ 2,0.6697219387755102,0.2557950680272109,2.121023299319728,0.1439
HSC030,16, ≤ 2,0.7109552721088435,0.29702840136054415,2.123023299319728,0.14590000000000006
HSC030,2, ≤ 2,0.6988219387755101,0.2848950680272108,2.0807566326530615,0.10363333333333331
HSC030,32, ≤ 2,0.6555886054421769,0.24166173469387758,1.9826899659863946,0.005566666666666498
HSC030,4, ≤ 2,0.6775219387755101,0.26359506802721083,2.0803899659863947,0.10326666666666662
HSC030,8, ≤ 2,0.6812219387755102,0.26729506802721087,2.089689965986395,0.11256666666666663
HSC034,0, ≤ 2,0.38755527210884355,0.024280782312925187,1.715323299319728,0
HSC034,1, ≤ 2,0.5797886054421768,0.21651411564625844,1.9531899659863945,0.23786666666666653
HSC034,16, ≤ 2,0.5937552721088435,0.23048078231292513,1.9984899659863946,0.28316666666666657
HSC034,2, ≤ 2,0.6052552721088436,0.2419807823129252,2.0053899659863945,0.29006666666666653
HSC034,32, ≤ 2,0.5656886054421768,0.20241411564625844,1.8096899659863945,0.09436666666666656
HSC034,4, ≤ 2,0.5568219387755102,0.19354744897959186,1.9799899659863944,0.26466666666666655
HSC034,8, ≤ 2,0.5777552721088436,0.21448078231292522,1.8771566326530613,0.16183333333333327
HSC038,0, ≤ 2,0.6644552721088435,0.18485221088435372,1.403456632653061,0
HSC038,1, ≤ 2,0.7572219387755101,0.2776188775510204,1.5138232993197278,0.11036666666666665
HSC038,16, ≤ 2,0.7947886054421768,0.315185544217687,1.5577232993197279,0.1542666666666667
HSC038,2, ≤ 2,0.7677886054421769,0.2881855442176871,1.4852232993197279,0.0817666666666667
HSC038,32, ≤ 2,0.6708886054421769,0.19128554421768712,1.4210899659863945,0.017633333333333317
HSC038,4, ≤ 2,0.7981886054421768,0.3185855442176871,1.5711232993197277,0.16766666666666663
HSC038,8, ≤ 2,0.7948552721088434,0.3152522108843537,1.4896232993197278,0.08616666666666672
HSC041,0, ≤ 2,0.4558219387755102,0.0967569727891156,1.6177899659863946,0
HSC041,1, ≤ 2,0.5161219387755103,0.15705697278911568,1.749823299319728,0.13203333333333345
HSC041,16, ≤ 2,0.48918860544217685,0.13012363945578226,1.7839232993197278,0.16613333333333338
HSC041,2, ≤ 2,0.5787886054421768,0.21972363945578222,1.7505899659863946,0.13280000000000003
HSC041,32, ≤ 2,0.4354219387755102,0.07635697278911563,1.7031232993197278,0.08533333333333333
HSC041,4, ≤ 2,0.5353886054421768,0.17632363945578222,1.8464232993197278,0.22863333333333338
HSC041,8, ≤ 2,0.5203886054421769,0.16132363945578232,1.7655899659863947,0.14780000000000015
HSC042,0, ≤ 2,0.6032886054421769,0.17403792517006805,2.1658899659863944,0
HSC042,1, ≤ 2,0.6277886054421769,0.19853792517006802,2.495523299319728,0.3296333333333336
HSC042,16, ≤ 2,0.6848552721088436,0.25560459183673473,2.374556632653061,0.2086666666666667
HSC042,2, ≤ 2,0.7114552721088435,0.2822045918367347,2.4455566326530613,0.2796666666666668
HSC042,32, ≤ 2,0.6803552721088435,0.25110459183673467,2.2534566326530614,0.08756666666666664
HSC042,4, ≤ 2,0.7397552721088435,0.3105045918367347,2.508889965986395,0.34300000000000014
HSC042,8, ≤ 2,0.7473219387755102,0.3180712585034014,2.4195899659863946,0.25370000000000004
HSC043,0, ≤ 2,0.6239219387755102,0.18009030612244897,2.195723299319728,0
HSC043,1, ≤ 2,0.6720552721088435,0.22822363945578233,2.4171232993197282,0.22140000000000012
HSC043,16, ≤ 2,0.7794886054421768,0.3356569727891156,2.4277566326530615,0.23203333333333354
HSC043,2, ≤ 2,0.7451552721088435,0.3013236394557823,2.5418899659863947,0.34616666666666673
HSC043,32, ≤ 2,0.6322552721088435,0.18842363945578228,2.1709899659863945,-0.024733333333333274
HSC043,4, ≤ 2,0.7482886054421768,0.3044569727891156,2.693889965986395,0.49816666666666687
HSC043,8, ≤ 2,0.7482219387755101,0.30439030612244894,2.417623299319728,0.22190000000000012
HSC044,0, ≤ 2,0.5372552721088435,0.1101236394557823,2.2034899659863947,0
HSC044,1, ≤ 2,0.6014886054421769,0.17435697278911566,2.4673566326530616,0.2638666666666667
HSC044,16, ≤ 2,0.6627886054421769,0.23565697278911568,2.459223299319728,0.2557333333333332
HSC044,2, ≤ 2,0.6326552721088435,0.20552363945578234,2.5156232993197283,0.3121333333333334
HSC044,32, ≤ 2,0.6571552721088435,0.2300236394557823,2.414423299319728,0.21093333333333328
HSC044,4, ≤ 2,0.7116552721088435,0.2845236394557823,2.721123299319728,0.5176333333333333
HSC044,8, ≤ 2,0.6736886054421768,0.2465569727891156,2.461423299319728,0.2579333333333334
HSC046,0, ≤ 2,0.6244886054421769,0.18099506802721094,1.5841232993197278,0
HSC046,1, ≤ 2,0.6667552721088434,0.2232617346938775,1.6930899659863945,0.10896666666666666
HSC046,16, ≤ 2,0.7005219387755102,0.2570284013605442,1.6705232993197279,0.08640000000000003
HSC046,2, ≤ 2,0.7343886054421769,0.29089506802721093,1.825323299319728,0.2412
HSC046,32, ≤ 2,0.6121552721088435,0.16866173469387752,1.5689232993197277,-0.015200000000000028
HSC046,4, ≤ 2,0.6858219387755101,0.24232840136054418,1.7536232993197278,0.16949999999999998
HSC046,8, ≤ 2,0.7091219387755102,0.2656284013605443,1.7638566326530611,0.1797333333333333
HSC047,0, ≤ 2,0.5190552721088435,0.17092363945578232,1.565823299319728,0
HSC047,1, ≤ 2,0.5496219387755101,0.20149030612244895,1.500723299319728,-0.06510000000000012
HSC047,16, ≤ 2,0.5513552721088435,0.2032236394557823,1.5393566326530612,-0.02646666666666686
HSC047,2, ≤ 2,0.5357219387755102,0.18759030612244904,1.5809899659863946,0.01516666666666655
HSC047,32, ≤ 2,0.47435527210884354,0.12622363945578235,1.484623299319728,-0.08120000000000016
HSC047,4, ≤ 2,0.5142886054421768,0.16615697278911562,1.6907899659863945,0.12496666666666656
HSC047,8, ≤ 2,0.5167552721088435,0.16862363945578235,1.5204566326530613,-0.04536666666666681
HSC048,0, ≤ 2,0.5456219387755101,0.14376173469387749,1.7812899659863946,0
HSC048,1, ≤ 2,0.6552219387755102,0.2533617346938775,1.847623299319728,0.06633333333333342
HSC048,16, ≤ 2,0.6329886054421768,0.2311284013605442,1.9124899659863945,0.13120000000000012
HSC048,2, ≤ 2,0.6403886054421769,0.23852840136054426,1.8672899659863944,0.08600000000000001
HSC048,32, ≤ 2,0.6423219387755101,0.2404617346938775,1.932123299319728,0.1508333333333335
HSC048,4, ≤ 2,0.6409886054421768,0.2391284013605442,1.8964566326530612,0.11516666666666664
HSC048,8, ≤ 2,0.6421219387755102,0.24026173469387752,1.9232899659863945,0.1419999999999999
HSC050,0, ≤ 2,0.5520552721088435,0.1350855442176871,1.4439232993197277,0
HSC050,1, ≤ 2,0.6773219387755102,0.26035221088435373,1.6064232993197278,0.1625
HSC050,16, ≤ 2,0.6913219387755102,0.27435221088435374,1.6555232993197277,0.2116
HSC050,2, ≤ 2,0.5770886054421769,0.16011887755102044,1.5185232993197277,0.0746
HSC050,32, ≤ 2,0.6981552721088435,0.2811855442176871,1.6382566326530612,0.19433333333333333
HSC050,4, ≤ 2,0.6205219387755102,0.20355221088435377,1.5655566326530612,0.12163333333333333
HSC050,8, ≤ 2,0.6294219387755102,0.2124522108843538,1.6044566326530612,0.16053333333333333
HSC051,0, ≤ 2,0.6353552721088435,0.2203617346938775,2.394756632653061,0
HSC051,1, ≤ 2,0.7090219387755101,0.29402840136054414,2.5025566326530613,0.10779999999999997
HSC051,16, ≤ 2,0.6066886054421768,0.19169506802721087,2.4102232993197283,0.015466666666666887
HSC051,2, ≤ 2,0.6491886054421768,0.23419506802721085,2.4453566326530614,0.0506000000000002
HSC051,32, ≤ 2,0.6965552721088435,0.2815617346938775,2.490589965986395,0.09583333333333337
