Strain,Drug,Species,Type,RAD50,FoG50
HSC119,BA,C.glabrata,HSc,8.5,0.378333333
HSC119,FLC,C.glabrata,HSc,12.66666667,0.336666667
HSC120,BA,C.albicans,HSc,10.83333333,0.115
HSC120,FLC,C.albicans,HSc,18.16666667,0.593333333
HSC121,BA,C.glabrata,HSc,9.5,0.346666667
HSC121,FLC,C.glabrata,HSc,12.33333333,0.263333333
HSC122,BA,C.albicans,HSc,12.66666667,0.176666667
HSC122,FLC,C.albicans,HSc,17.5,0.218333333
HSC123,BA,C.albicans,HSc,11.83333333,0.088333333
HSC123,FLC,C.albicans,HSc,17.83333333,0.473333333
HSC124,BA,C.albicans,HSc,13.5,0.13
HSC124,FLC,C.albicans,HSc,16.83333333,0.378333333
HSC125,BA,C.albicans,HSc,12,0.105
HSC125,FLC,C.albicans,HSc,16,0.725
HSC126,BA,C.albicans,HSc,11.83333333,0.093333333
HSC126,FLC,C.albicans,HSc,18.83333333,0.305
HSC127,BA,C.albicans,HSc,13,0.095
HSC127,FLC,C.albicans,HSc,17.83333333,0.415
HSC128,BA,C.albicans,HSc,11.66666667,0.105
HSC128,FLC,C.albicans,HSc,16.16666667,0.623333333
HSC129,BA,C.albicans,HSc,12.66666667,0.178333333
HSC129,FLC,C.albicans,HSc,19.16666667,0.156666667
HSC130,BA,C.glabrata,HSc,8.166666667,0.496666667
HSC130,FLC,C.glabrata,HSc,4,
HSC131,BA,C.albicans,HSc,16.33333333,0.341666667
HSC131,FLC,C.albicans,HSc,13.83333333,
HSC132,BA,C.glabrata,HSc,10.5,0.33
HSC132,FLC,C.glabrata,HSc,16.16666667,0.178333333
HSC133,BA,C.parapsilosis,HSc,19,0.1125
HSC133,FLC,C.parapsilosis,HSc,22.25,0.1075
HSC134,BA,C.albicans,HSc,12.33333333,0.1
HSC134,FLC,C.albicans,HSc,18.66666667,0.358333333
HSC138,BA,C.albicans,HSc,10.66666667,0.121666667
HSC138,FLC,C.albicans,HSc,14.33333333,0.751666667
HSC140,BA,C.glabrata,HSc,8.5,0.2925
HSC140,FLC,C.glabrata,HSc,10.75,0.2875
HSC142,BA,C.glabrata,HSc,8.833333333,0.306666667
HSC142,FLC,C.glabrata,HSc,5,0.501666667
HSC143,BA,C.glabrata,HSc,9,0.338333333
HSC143,FLC,C.glabrata,HSc,5,0.538333333
HSC144,BA,C.parapsilosis,HSc,11.5,0.11
HSC144,FLC,C.parapsilosis,HSc,22.75,0.1175
HSC145,BA,C.glabrata,HSc,10.5,0.275
HSC145,FLC,C.glabrata,HSc,12.83333333,0.213333333
HSC146,BA,C.glabrata,HSc,9.166666667,0.333333333
HSC146,FLC,C.glabrata,HSc,12.83333333,0.21
HSC147,BA,C.albicans,HSc,10.33333333,0.136666667
HSC147,FLC,C.albicans,HSc,17.66666667,0.625
HSC148,BA,C.glabrata,HSc,10,0.361666667
HSC148,FLC,C.glabrata,HSc,14.16666667,0.218333333
HSC149,BA,C.albicans,HSc,13.5,0.123333333
HSC149,FLC,C.albicans,HSc,18.16666667,0.52
HSC150,BA,C.glabrata,HSc,9.833333333,0.316666667
HSC150,FLC,C.glabrata,HSc,15.83333333,0.093333333
HSC152,BA,C.glabrata,HSc,12.66666667,0.26
HSC152,FLC,C.glabrata,HSc,13.5,0.221666667
HSC154,BA,C.glabrata,HSc,8.666666667,0.305
HSC154,FLC,C.glabrata,HSc,10.33333333,0.416666667
HSC155,BA,C.parapsilosis,HSc,6.25,0.4475
HSC155,FLC,C.parapsilosis,HSc,20.5,0.1125
HSC156,BA,C.albicans,HSc,13.16666667,0.1
HSC156,FLC,C.albicans,HSc,16.66666667,0.385
HSC157,BA,C.albicans,HSc,12.66666667,0.081666667
HSC157,FLC,C.albicans,HSc,16.5,0.611666667
HSC158,BA,C.albicans,HSc,15.66666667,0.151666667
HSC158,FLC,C.albicans,HSc,17.33333333,0.326666667
HSC159,BA,C.glabrata,HSc,13.33333333,0.356666667
HSC159,FLC,C.glabrata,HSc,16.66666667,0.125
HSC160,BA,C.albicans,HSc,13.83333333,0.2
HSC160,FLC,C.albicans,HSc,13.33333333,0.51
HSC161,BA,C.glabrata,HSc,13.5,0.2075
HSC161,FLC,C.glabrata,HSc,11.5,0.2425
HSC165,BA,C.albicans,HSc,12.66666667,0.153333333
HSC165,FLC,C.albicans,HSc,15.66666667,0.591666667
HSC169,BA,C.albicans,HSc,13.5,0.67
HSC169,FLC,C.albicans,HSc,19,0.625
HSC171,BA,C.glabrata,HSc,9.833333333,0.361666667
HSC171,FLC,C.glabrata,HSc,11.66666667,0.261666667
HSC172,BA,C.glabrata,HSc,11.16666667,0.34
HSC172,FLC,C.glabrata,HSc,16.66666667,0.275
HSC173,BA,C.albicans,HSc,12.16666667,0.155
HSC173,FLC,C.albicans,HSc,17.16666667,0.57
HSC174,BA,C.albicans,HSc,12.66666667,0.14
HSC174,FLC,C.albicans,HSc,16.16666667,0.726666667
HSC175,BA,C.parapsilosis,HSc,11,0.105
HSC175,FLC,C.parapsilosis,HSc,18.75,0.1825
HSC176,BA,C.albicans,HSc,11.33333333,0.113333333
HSC176,FLC,C.albicans,HSc,13.5,0.775
HSC177,BA,C.glabrata,HSc,9.166666667,0.26
HSC177,FLC,C.glabrata,HSc,16.16666667,0.22
HSC178,BA,C.parapsilosis,HSc,11.25,0.12
HSC178,FLC,C.parapsilosis,HSc,21.5,0.2275
HSC179,BA,C.parapsilosis,HSc,11.5,0.14
HSC179,FLC,C.parapsilosis,HSc,19,0.2175
HSC180,BA,C.albicans,HSc,12.5,0.136666667
HSC180,FLC,C.albicans,HSc,16.33333333,0.685
HSC181,BA,C.tropicalis,HSc,11.25,0.3075
HSC181,FLC,C.tropicalis,HSc,16.75,0.2775
HSC182,BA,C.albicans,HSc,14.5,0.185
HSC182,FLC,C.albicans,HSc,17.83333333,0.445
HSC183,BA,C.glabrata,HSc,9.333333333,0.32
HSC183,FLC,C.glabrata,HSc,6.833333333,0.365
HSC184,BA,C.parapsilosis,HSc,10.75,0.1475
HSC184,FLC,C.parapsilosis,HSc,7,0.2225
HSC185,BA,C.albicans,HSc,14.16666667,0.115
HSC185,FLC,C.albicans,HSc,16.83333333,0.591666667
HSC186,BA,C.glabrata,HSc,10.83333333,0.111666667
