Strain,Drug,Species,RAD20,FoG20,RAD50,FoG50
HSC161,BA,C.glabrata,15.5,0.24250000000000002,13.5,0.20750000000000002
HSC161,FLC,C.glabrata,12,0.215,11.5,0.2425
HSC165,BA,C.albicans,14,0.17333333333333334,12.666666666666666,0.15333333333333332
HSC165,FLC,C.albicans,19.666666666666668,0.4766666666666667,15.666666666666666,0.5916666666666667
HSC167,BA,C.albicans,15,0.165,14,0.1575
HSC167,FLC,C.albicans,12.25,0.4475,9.5,0.535
HSC169,BA,C.albicans,15.5,0.4875,13.25,0.6525000000000001
HSC169,FLC,C.albicans,22,0.345,19.75,0.425
HSC171,BA,C.glabrata,12.5,0.3583333333333333,9.833333333333334,0.3616666666666667
HSC171,FLC,C.glabrata,12.833333333333334,0.245,11.666666666666666,0.26166666666666666
HSC172,BA,C.glabrata,13.333333333333334,0.32166666666666666,11.166666666666666,0.34
HSC172,FLC,C.glabrata,18.166666666666668,0.24166666666666667,16.666666666666668,0.275
HSC173,BA,C.albicans,13.166666666666666,0.15833333333333333,12.166666666666666,0.155
HSC173,FLC,C.albicans,20.333333333333332,0.42833333333333334,17.166666666666668,0.57
HSC174,BA,C.albicans,14,0.15666666666666668,12.666666666666666,0.13999999999999999
HSC174,FLC,C.albicans,19.833333333333332,0.5183333333333333,16.166666666666668,0.7266666666666667
HSC175,BA,C.parapsilosis,12.166666666666666,0.12,11.333333333333334,0.095
HSC175,FLC,C.parapsilosis,22,0.19166666666666665,19,0.15166666666666667
HSC176,BA,C.albicans,12.666666666666666,0.15333333333333335,11.333333333333334,0.11333333333333334
HSC176,FLC,C.albicans,18,0.5666666666666667,13.5,0.775
HSC177,BA,C.glabrata,12.333333333333334,0.34833333333333333,9.166666666666666,0.26
HSC177,FLC,C.glabrata,17.333333333333332,0.18666666666666668,16.166666666666668,0.22
HSC178,BA,C.parapsilosis,14,0.14333333333333334,12.833333333333334,0.10666666666666667
HSC178,FLC,C.parapsilosis,24,0.17333333333333334,22,0.18166666666666667
HSC179,BA,C.parapsilosis,12.5,0.14166666666666666,11.5,0.12333333333333334
HSC179,FLC,C.parapsilosis,22,0.20666666666666667,19.666666666666668,0.18666666666666668
HSC180,BA,C.albicans,13.833333333333334,0.15833333333333333,12.5,0.1366666666666667
HSC180,FLC,C.albicans,18.833333333333332,0.48000000000000004,16.333333333333332,0.685
HSC181,BA,C.tropicalis,12.333333333333334,0.2916666666666667,10.666666666666666,0.2866666666666667
HSC181,FLC,C.tropicalis,18.166666666666668,0.22166666666666668,16.5,0.22833333333333333
HSC182,BA,C.albicans,15.666666666666666,0.17500000000000002,14.5,0.185
HSC182,FLC,C.albicans,21.166666666666668,0.35833333333333334,17.833333333333332,0.445
HSC183,BA,C.glabrata,12,0.33333333333333337,9.333333333333334,0.32
HSC183,FLC,C.glabrata,10.833333333333334,0.44333333333333336,6.833333333333333,0.365
HSC184,BA,C.parapsilosis,11.666666666666666,0.175,10.5,0.13666666666666666
HSC184,FLC,C.parapsilosis,8.5,0.385,5.666666666666667,0.24833333333333332
HSC185,BA,C.albicans,15.333333333333334,0.13166666666666665,14.166666666666666,0.115
HSC185,FLC,C.albicans,19.666666666666668,0.435,16.833333333333332,0.5916666666666667
HSC186,BA,C.glabrata,12,0.15,10.833333333333334,0.11166666666666666
HSC186,FLC,C.glabrata,7.166666666666667,0.485,4.5,0.43666666666666665
HSC187,BA,C.albicans,13.166666666666666,0.14333333333333334,11.833333333333334,0.09666666666666666
HSC187,FLC,C.albicans,19.666666666666668,0.375,18,0.47833333333333333
HSC188,BA,C.glabrata,11.25,0.4125,8.5,0.41
HSC188,FLC,C.glabrata,14.25,0.3725,11,0.355
HSC189,BA,C.glabrata,13.833333333333334,0.2833333333333333,12.5,0.295
HSC189,FLC,C.glabrata,18.166666666666668,0.27166666666666667,15.833333333333334,0.30333333333333334
HSC190,BA,C.albicans,12.5,0.15333333333333332,11.5,0.13
HSC190,FLC,C.albicans,18.333333333333332,0.4633333333333333,15.5,0.6316666666666667
HSC191,BA,C.glabrata,9.833333333333334,0.4033333333333333,7.666666666666667,0.44833333333333336
HSC191,FLC,C.glabrata,13.166666666666666,0.33666666666666667,10.166666666666666,0.33666666666666667
HSC192,BA,C.glabrata,11,0.3616666666666667,8.5,0.37333333333333335
HSC192,FLC,C.glabrata,15.166666666666666,0.25,13,0.2383333333333333
HSC193,BA,C.albicans,13.166666666666666,0.19166666666666668,11.666666666666666,0.16666666666666666
HSC193,FLC,C.albicans,20.5,0.49000000000000005,16.833333333333332,0.6633333333333333
HSC194,BA,C.albicans,12.333333333333334,0.15333333333333335,11.333333333333334,0.12333333333333334
HSC194,FLC,C.albicans,15.5,0.69,4.666666666666667,NA
HSC196,BA,C.parapsilosis,16.166666666666668,0.12166666666666666,15,0.085
HSC196,FLC,C.parapsilosis,20.666666666666668,0.21666666666666667,17.666666666666668,0.17166666666666666
HSC197,BA,C.albicans,13.166666666666666,0.19166666666666668,11.166666666666666,0.12666666666666668
