Filename,OrbitId,ELB,Background,Celltype 1,ROIArea[pixel],ROI-Group
A03_BA_0.4_t03.jpeg,290,local,0.879829,0.120171,1391744,0
A03_BA_0.4_t04.jpeg,291,local,0.870597,0.129403,1391744,0
A03_BA_0.4_t05.jpeg,292,local,0.904239,0.095761,1391744,0
A03_BA_0.4_t06.jpeg,293,local,0.808426,0.191574,1391744,0
A03_BA_0.4_t07.jpeg,294,local,0.703618,0.296382,1391744,0
A03_BA_0.4_t08.jpeg,295,local,0.621448,0.378552,1391744,0
A03_BA_0.4_t09.jpeg,296,local,0.54604,0.45396,1391744,0
A03_BA_0.4_t10.jpeg,297,local,0.446801,0.553199,1391744,0
A03_BA_0.4_t11.jpeg,298,local,0.340556,0.659444,1391744,0
A03_BA_0.4_t12.jpeg,299,local,0.229958,0.770042,1391744,0
A03_BA_0.4_t13.jpeg,300,local,0.142563,0.857437,1391744,0
A03_BA_0.4_t14.jpeg,301,local,0.078654,0.921346,1391744,0
A03_BA_0.4_t15.jpeg,302,local,0.050469,0.949531,1391744,0
A03_BA_0.4_t16.jpeg,303,local,0.012699,0.987301,1391744,0
A03_BA_0.4_t17.jpeg,304,local,0.006497,0.993503,1391744,0
A03_BA_0.4_t18.jpeg,305,local,0.003358,0.996642,1391744,0
A03_BA_0.4_t19.jpeg,306,local,0.001587,0.998413,1391744,0
A03_BA_0.4_t20.jpeg,307,local,0.00036,0.99964,1391744,0
A03_BA_0.4_t21.jpeg,308,local,0.001973,0.998027,1391744,0
A03_BA_0.4_t22.jpeg,309,local,0.00002,0.99998,1391744,0
A03_BA_0.4_t23.jpeg,310,local,0.001646,0.998354,1391744,0
A03_BA_0.4_t24.jpeg,311,local,0.000015,0.999985,1391744,0
A03_BA_0.8_t0.jpeg,312,local,0.972262,0.027738,1391744,0
A03_BA_0.8_t01.jpeg,313,local,0.941025,0.058975,1391744,0
A03_BA_0.8_t02.jpeg,314,local,0.930587,0.069413,1391744,0
A03_BA_0.8_t03.jpeg,315,local,0.923227,0.076773,1391744,0
A03_BA_0.8_t04.jpeg,316,local,0.914166,0.085834,1391744,0
A03_BA_0.8_t05.jpeg,317,local,0.932386,0.067614,1391744,0
A03_BA_0.8_t06.jpeg,318,local,0.934996,0.065004,1391744,0
A03_BA_0.8_t07.jpeg,319,local,0.929126,0.070874,1391744,0
A03_BA_0.8_t08.jpeg,320,local,0.933878,0.066122,1391744,0
A03_BA_0.8_t09.jpeg,321,local,0.907186,0.092814,1391744,0
A03_BA_0.8_t10.jpeg,322,local,0.897547,0.102453,1391744,0
A03_BA_0.8_t11.jpeg,323,local,0.861418,0.138582,1391744,0
A03_BA_0.8_t12.jpeg,324,local,0.778607,0.221393,1391744,0
A03_BA_0.8_t13.jpeg,325,local,0.709344,0.290656,1391744,0
A03_BA_0.8_t14.jpeg,326,local,0.77751,0.22249,1391744,0
A03_BA_0.8_t15.jpeg,327,local,0.742877,0.257123,1391744,0
A03_BA_0.8_t16.jpeg,328,local,0.637788,0.362212,1391744,0
A03_BA_0.8_t17.jpeg,329,local,0.639579,0.360421,1391744,0
A03_BA_0.8_t18.jpeg,330,local,0.515662,0.484338,1391744,0
